1d 2d 4d 7d
K14170 0.0843955736806638 0.0894912630499343 -0.460665393859662 -0.535834992059313
K01890 -0.0749195709253709 -0.114062882678325 0.265122178286495 0.599030219941757
K07178 -1.82706450031687 -0.937529320314966 -0.40933789737609 -0.0532360286220443
K08711 -2.28288609038986 -0.759106992765347 -0.167433093484905 0.299017962139449
K08765 1.37608527274731 1.58798049810285 0.855615966478627 0.234699425537112
K02883 -0.901605746077511 -0.929955333629139 -0.152412664904783 0.189530151271439
K24741 -0.1007625151129 0.295143665111334 0.38555192986459 0.46583817921403
K08994 -1.83769664583327 -1.02126724245858 -3.04135632377754 -2.57237119251331
K26979 -0.146770643339922 0.369804297738365 0.0175627058960151 -0.104710191274825
K13103 0.356373208525709 0.399463284286308 0.562595728822369 0.205274632434592
K16219 -0.93934049324052 -0.189931404001775 0.237656875273269 -0.0756947460852416
K10595 0.626094011706784 0.365545134883725 0.691152857843557 0.569756756162334
K15538 0.273804843552243 0.289381974996409 0.6458674341309 0.662354252438983
K02882 -0.423717167865758 -0.630647782509854 0.383519127354683 0.729220401904076
K10688 -0.386008754629297 -0.741809627714626 -0.927156169348072 -1.20586767826052
K20131 0.20937635541627 -0.265328048902306 -0.583831312975925 -0.0298578939649562
K01190 0.427782450201456 0.64371501767509 0.262322228609391 -0.0399515166788445
K26544 -1.02034799641677 -1.18722050583526 -1.34256092159726 -0.79397857346599
K07511 4.95984194605889 5.40138154463449 3.19250417259236 0.408131987307587
K00626 2.27733234797758 2.35576845128703 1.64491164749964 0.632134454215188
K14801 -1.87726910097263 -0.516009768728745 -0.132170649006933 0.294245690420335
K03083 -0.444272471074043 -0.205128850178125 0.259554839346754 0.125225485812622
K13356 1.06999161953003 1.31608037597171 1.13248779804832 0.821489058646065
K00951 0.102948435855407 -0.0229324169260106 -0.214755915742889 -0.23967656276896
K01802 1.97654362391906 0.721537450567013 -0.0683867927133795 -0.308314210954912
K16889 -0.293659992854581 -0.155438704750839 -0.181074716464733 -0.411798414899327
