"","Expt","Sample","Species","TreatNum","Light","Treatment","ShortTreat","Feeding","Rep","Day","CellCount","ChlpCell","Fv.Fm","Pmax","Pmax.err","Pmax.p","a","a.err","a.p","Ek","P_I","P_I.C","CryptoCount","ShortTreat2","ChlpmL","logcells","ID","mu.3day.terminal","mu.3day.centered"
"102",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","","fed","F",11,13083.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5383.333333,"",NA,9.4790918867685,"fed F",0.191705342400841,0.338023816618231
"108",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 96h post-feeding","fed96","fed","F",12,16571.4,25.9412,0.499,42.28846546,0.385932419,7e-27,1.15358082,0.039456201,1.26e-16,36.65843323,11.257936,0.194557173,616.6666667,"fed96",429882.00168,9.71543359689377,"fed F",0.338023816618231,0.347211401490342
"114",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","F",13,26200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.6666667,"",NA,10.1735146897492,"fed F",0.347211401490342,0.203929971741399
"120",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","","fed","F",14,24916.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.1232935403766,"fed F",0.203929971741399,-0.00704752669963855
"126",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, 7d post-feeding","fed168","fed","F",15,25833.3,15.0787,0.461,45.13145269,0.928607985,1.51e-20,1.038245471,0.072680707,2.91e-11,43.46896178,10.20309501,0.176327643,0,"fed168",389532.58071,10.1594196363499,"fed F",-0.00704752669963855,NA
"1",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",-8,18400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.82010594359708,"starved A",NA,NA
"7",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",-7,19800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.89343721668263,"starved A",NA,0.054037110764709
"13",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",-6,20500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.9281801651265,"starved A",0.054037110764709,0.0490764584901139
"19",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",-4,22875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0377998901437,"starved A",0.0490764584901139,0.0287673324461962
"25",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",-2,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0432494949113,"starved A",0.0287673324461962,-0.0251812362861962
"31",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",-1,20916.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.94830316195015,"starved A",-0.0251812362861962,-0.064905805760998
"37",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",0,20200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.9134378833893,"starved A",-0.064905805760998,0.0401745020635689
"43",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",1,22666.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0286521660773,"starved A",0.0401745020635689,-0.0474334009546362
"49",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",3,18100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.80366721725392,"starved A",-0.0474334009546362,-0.069481356586972
"55",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",5,17166.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.75072673972941,"starved A",-0.069481356586972,-0.039016667260894
"61",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",6,16000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.68034400122192,"starved A",-0.039016667260894,0.0264702387622548
"67",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","A",7,18100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.80366721725392,"starved A",0.0264702387622548,0.0476550899021613
"73",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","A",8,17600,10.6023,0.221,62.51360432,0.61660667,2.83e-26,1.212668293,0.036080644,1.07e-17,51.5504567,11.97682884,0.206980921,0,"starved",186600.48,9.77565418102624,"starved A",0.0476550899021613,-0.103206413927874
"187",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, super starved","superstarved","starved","A",21,4412.5,7.2204,0.226,41.73992831,0.759502533,1.67e-21,1.048640194,0.068436385,9.02e-12,39.80386081,10.27120824,0.177504761,0,"superstarved",31860.015,8.39219670124155,"starved A",-0.103206413927874,NA
"2",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",-8,14785.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.60141577644821,"starved B",NA,NA
"8",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",-7,21500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.97580821411575,"starved B",NA,0.272508977349155
"14",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",-6,25500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.1464337311465,"starved B",0.272508977349155,0.0210959548184973
"20",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",-4,23600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0690019910137,"starved B",0.0210959548184973,-0.0100013336534256
"26",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",-2,24500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.1064283965328,"starved B",-0.0100013336534256,-0.0226276559890485
"32",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",-1,21600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.98044859367226,"starved B",-0.0226276559890485,-0.0123973293066092
"38",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",0,23900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0816337379196,"starved B",-0.0123973293066092,0.00917456933409629
"44",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",1,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.99879773234045,"starved B",0.00917456933409629,-0.0904093492118355
"50",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",3,18250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.81192035901064,"starved B",-0.0904093492118355,-0.0467193433324546
"56",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",5,18250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.81192035901064,"starved B",-0.0467193433324546,-0.0245048062164086
"62",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",6,16750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.72615353725321,"starved B",-0.0245048062164086,-0.094735168103813
"68",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","B",7,15100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.62245002280302,"starved B",-0.094735168103813,-0.0551740285844344
"74",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","starved","starved","B",8,15000,12.2324,0.257,60.17736626,0.569914446,1.36e-26,1.082803238,0.029094885,1.76e-18,55.57553226,10.7126675,0.185133963,0,"starved",183486,9.61580548008435,"starved B",-0.0551740285844344,-0.100359366749988
"188",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, super starved","superstarved","starved","B",21,3862.5,8.1346,0.205,37.35850979,0.908403162,2.97e-19,1.012215081,0.091928291,1.99e-09,36.9076795,9.881518971,0.170770237,0,"superstarved",31419.8925,8.259069921206,"starved B",-0.100359366749988,NA
"3",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","C",-8,17416.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.76518479503271,"starved C",NA,NA
"9",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","C",-7,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.99879773234045,"starved C",NA,0.0887617353283458
"15",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","C",-6,20800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.94270826568941,"starved C",0.0887617353283458,0.00884361372784486
"21",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","C",-4,22300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0123419574482,"starved C",0.00884361372784486,0.0499490468293038
"27",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","C",-2,25400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.1425044530066,"starved C",0.0499490468293038,0.018128046100765
"33",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","C",-1,23000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0432494949113,"starved C",0.018128046100765,-0.0643351679200321
"39",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","C",0,22333.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0138341171666,"starved C",-0.0643351679200321,-0.019958303702722
"45",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","C",1,22100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,10.0033328875058,"starved C",-0.019958303702722,-0.11649897345586
"51",3,NA,"M chamaeleon NRMC1802 (fed SM)",NA,10,"10uE, light, starved","","starved","C",3,16083.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"",NA,9.68553674555801,"starved C",-0.11649897345586,-0.0366910003709719
