,2a,2b,2c,3a,3b,3c,4a,4b,5a,5b,5c,7a,7b,7c
K21806,15,20,25,31,40,30,66,41,42,36,50,30,31,73
K04515,449,619,869,934,683,987,1584,1504,728,680,1257,1047,1054,1463
K03283,18125,34436,45928,65190,45732,67560,141466,125642,65343,61375,85183,109211,120191,144579
K14856,1695,2082,2825,3237,2486,3259,5852,5350,2123,2381,4070,3500,3264,5326
K06125,45,68,81,104,117,118,219,184,123,103,219,96,68,190
K04955,1269,1455,2114,2225,1994,2557,4464,3967,1976,1829,3510,2694,2454,4396
K14569,2049,2358,3269,3566,2888,4214,6779,6299,3366,3113,5495,3541,3449,6022
K09498,8559,11996,16172,18395,14122,19139,30397,27742,12159,14032,22085,15556,15310,21957
K05284,5,11,8,20,18,21,23,14,33,10,28,15,10,42
K06693,608,687,1121,783,796,1050,1601,1501,538,645,1024,754,782,1224
K00600,2627,3381,4665,5352,4390,5985,8511,7661,4602,4410,7206,3256,3135,5380
K22940,681,839,1347,1392,1341,1555,2267,2118,1113,1115,1760,1059,1259,1959
K23338,663,1526,1922,3153,2113,2640,4989,5638,2592,2120,3467,4599,5718,5619
K02883,12725,16485,23524,23083,19607,23988,34443,30200,13519,15735,26022,13630,16689,24060
K00908,254,404,526,523,695,782,1503,1287,861,704,1186,1367,828,2417
K16457,3294,3779,5231,6266,4440,6910,9534,8748,3802,4204,7995,5800,5318,7990
K00457,1596,1909,2719,3210,2664,3619,5586,5225,2311,2447,4161,1966,1947,3258
K01307,293,320,452,610,554,598,1482,1366,572,593,1046,500,537,981
K09553,13423,16155,22443,24356,20123,29867,37359,36207,17161,17575,31432,20669,20086,29603
K09499,8939,12448,17213,19399,15128,21602,30257,26427,14477,15829,23823,15686,15412,22808
K03061,1779,2512,3516,3881,3263,4147,5698,5488,2734,2997,4400,3119,3305,4583
K03978,94,63,113,124,111,122,252,245,101,112,169,162,95,194
K01934,7,8,2,7,19,12,29,16,27,17,28,13,2,34
K10396,2584,2905,4096,4178,3618,5205,6896,6673,3728,3230,5765,4691,4565,7170
K03934,540,979,1236,1573,1139,1610,2614,2360,1291,1509,1880,1339,1200,1580
K02930,12065,21298,29116,27675,20152,30353,32949,29301,18190,19534,24482,16480,15907,21736
K09571,146,348,442,443,272,437,826,693,289,363,551,314,283,453
K16862,563,755,867,1287,1092,1181,1595,1667,853,1058,1431,350,580,766
K03953,1532,2139,3103,4499,3525,4440,6128,5770,3124,3516,4754,3270,2997,4319
K03234,27182,42992,62233,63376,47826,76818,91635,83359,51394,55761,77022,51139,49085,66092
K18532,91,122,203,176,173,184,248,214,133,128,208,99,99,164
K20726,281,345,550,521,486,519,944,895,335,449,665,383,507,767
K13293,1418,1603,2417,2608,2124,2873,4808,4439,2003,1996,3614,2974,2936,4717
K02927,1058,2229,2909,2837,2049,2439,2985,2834,1380,1579,2096,1083,1484,1718
K06630,6427,8045,10830,14309,10588,13820,22761,21266,9102,10600,17151,7004,7824,11672
K10390,131,174,260,238,280,363,415,385,184,232,335,194,187,316
K20607,998,1339,1630,1359,1095,1464,999,896,438,481,929,457,420,644
K18643,5640,7080,10017,11777,10704,13942,27383,23948,10807,11617,19888,12874,12006,21368
K01366,4256,5825,7096,9912,7172,9473,14001,13444,5626,6316,11414,7018,7869,10265
K00656,0,0,7,1,3,0,0,0,0,0,0,1,1,0
K01883,320,308,598,435,504,623,689,784,459,313,610,575,629,902
K06636,5608,6182,8687,9755,8247,12363,15271,14155,7831,7488,12842,8924,9267,13932
K24104,241,263,384,505,413,526,583,579,318,300,471,285,335,419
K12951,124,163,314,199,276,431,441,346,223,192,370,299,236,528
K12598,1179,1491,1938,2025,1519,2211,3034,2916,1293,1314,2203,1737,1730,2818
K10843,1849,2546,3102,4024,3089,3926,4346,4526,2471,2309,4198,2441,2502,3796
K10410,2590,3660,4653,5713,4899,5972,9149,8424,3709,4197,7154,4125,4395,7059
K04799,105,110,115,98,166,224,233,219,151,116,225,169,124,367
K07904,704,847,1095,1645,1243,1614,2845,2600,1111,1212,2399,1365,1396,2088
K16605,1468,1595,2446,2669,2066,2862,4869,4439,2176,2184,3631,2311,2643,3592
K24229,4366,5289,7359,9628,8028,9614,25339,23401,9452,11599,19154,8720,9636,15460
K01514,90,237,339,312,309,340,575,593,337,310,522,368,325,601
K00679,371,350,485,612,562,735,1517,1265,647,613,1029,579,494,1148
K10397,4647,5310,7117,8216,6577,9279,12620,12500,6006,5717,10383,8299,8499,12483
K00907,161,180,218,258,253,318,421,380,300,223,360,199,188,414
K09645,3493,3845,5314,6011,5261,6226,11860,10525,4597,5380,9074,6493,7070,10440
K10863,1,1,3,10,5,1,1,11,13,7,10,0,7,14
K10839,1701,2914,3633,4276,3086,4551,5806,5513,2750,2933,4580,3586,2886,4300
K03470,5,17,9,16,10,21,28,21,12,19,30,33,21,65
K18758,6,5,0,3,8,9,28,8,11,10,7,15,16,12
K19036,431,530,736,770,703,916,1173,1224,669,603,1132,533,530,1028
K10752,1196,1426,1959,2626,2114,2660,3903,3645,1888,1903,3352,1617,1748,2570
K16196,747,779,1134,1257,1012,1516,1916,1789,1038,957,1754,869,820,1591
K02949,8506,11310,15445,17700,13927,16968,26813,24473,10233,11793,20299,11701,13086,17643
K24083,167,272,294,458,365,410,749,630,359,411,668,221,265,511
K14590,1546,1556,2225,2714,2288,3216,4990,4552,2541,2056,4222,2836,2539,5015
K07943,369,451,757,819,610,847,916,900,432,534,763,311,415,553
K19671,11299,13678,18377,20606,16679,24087,34492,31699,14813,14289,27257,16496,16533,25405
K14850,52,106,113,161,139,180,181,233,112,111,189,91,67,161
K03066,54,130,154,172,138,203,327,287,171,132,229,247,237,279
K22736,1565,2025,2677,3083,2375,2723,5551,4909,2450,2517,4451,3560,3716,5295
K10436,1776,2203,2752,3809,2624,3654,3816,3821,1624,1800,3461,1298,1378,2288
K02958,10518,15089,19883,23391,17773,21062,32930,28986,12596,14986,25907,12164,13647,20084
K00411,1772,2646,3807,4878,3786,4705,7228,6700,3415,4469,5153,3366,4004,4922
K00555,300,336,442,368,383,567,566,562,315,276,500,373,380,589
K24224,13429,15054,20899,24248,20071,30602,33218,31394,18464,15380,29204,18880,17973,30480
K11838,148,180,261,246,221,295,444,385,265,247,446,261,205,496
K04506,90,74,136,118,126,170,256,280,165,136,217,126,141,281
K07305,142,182,295,390,413,500,639,575,332,401,560,233,236,451
K03800,471,486,712,853,772,988,1234,1189,614,686,1115,440,479,727
K15542,264,358,480,569,498,690,979,911,425,406,764,474,558,795
K21343,4103,5230,7234,8604,7072,9736,13002,12591,6622,6646,11022,8971,7709,12616
K12132,16,8,32,24,33,45,40,37,65,40,90,16,9,54
K03456,5459,8136,10968,13557,10071,13894,22250,21553,11093,11198,17930,12254,13146,17697
K22378,620,700,988,1029,858,1106,1827,1440,783,846,1622,1131,1139,1705
K14788,511,657,734,668,620,934,943,1036,489,438,848,519,488,813
K17336,80,198,162,237,158,151,302,336,156,153,208,156,234,195
K04564,3525,4727,6153,9966,8010,8961,17013,16117,7350,8615,13418,6161,6868,10546
K14724,342,381,528,573,499,660,793,690,344,323,604,400,417,681
K12267,36,98,154,218,154,230,750,663,161,209,334,165,190,317
K00944,0,10,10,11,12,16,25,22,11,10,13,7,1,16
K09582,1386,2200,2718,3462,2328,3387,4648,3954,1620,2034,3272,2267,1956,2773
K00850,673,789,917,1326,1155,1370,1941,2166,1351,1103,1844,1017,977,1639
K25611,3538,3907,5399,6443,5086,7037,9385,8387,3774,4213,7668,4697,5159,7150
K01802,2034,2227,2979,3150,2648,3572,5516,5220,2545,2472,4450,2803,2890,4506
K07393,167,191,243,200,197,291,287,299,151,138,301,215,264,328
K07179,410,608,812,936,715,1084,1305,1374,701,692,991,789,760,1225
K15423,650,823,1013,1250,917,1306,1422,1386,668,810,1344,598,615,945
K01866,3043,3772,4776,5348,4319,5670,7253,7001,2882,3423,5784,2696,2843,4141
K21766,234,259,348,463,445,537,666,725,373,386,707,278,191,486
K14785,371,466,733,1281,1115,1308,2689,2176,928,1121,1822,933,1143,1896
K04373,2767,3410,4777,5929,4832,6147,9802,9464,4629,4667,8407,5116,4936,8498
K12493,2025,2512,3489,4650,4345,5105,9988,8896,4270,4575,7885,4264,4111,7396
K07735,260,363,489,472,422,499,820,710,357,378,627,373,366,621
K18753,1609,2535,3182,4258,3031,3762,5532,4741,3265,3121,4754,3035,3226,4010
K01112,89,144,196,155,210,232,501,390,125,229,299,163,191,323
K13126,1393,1800,2251,2883,2063,3039,4435,4466,2351,2034,3521,2731,2575,3813
K13179,1397,1677,2379,2918,2158,2954,3713,3629,1887,1852,3384,2332,2361,3590
K16780,2675,3767,4994,6390,4923,5808,10647,9810,4727,4820,8161,4248,5268,7456
K03943,756,1025,1469,1791,1423,1858,2435,2437,1286,1486,1905,1317,1495,2014
K19685,4421,6658,8700,9786,6973,10068,15053,13922,6846,7200,11690,8912,8525,12344
K00135,280,356,512,532,470,576,1007,972,428,504,768,413,382,738
K11481,1094,1252,1684,1894,1541,2032,3027,2717,1317,1437,2377,1054,1098,1744
K01659,1323,1527,1953,3117,2539,3118,3718,3816,1922,2027,3399,954,1048,1747
K02503,493,640,761,1555,1147,1448,1593,1585,895,1118,1644,280,341,576
K10768,104,184,239,200,280,300,759,702,314,307,538,525,419,804
K03679,180,250,326,378,322,353,527,430,212,282,368,172,145,274
K03000,77,161,224,239,214,244,312,277,113,147,283,132,117,203
K06626,5168,5874,7622,7876,6099,8335,18222,16541,7480,6529,13832,9620,9836,13459
K14416,412,406,633,639,575,759,1256,1150,500,502,876,654,656,1069
K01754,2925,4949,6910,6601,4918,7381,12726,10941,5514,5958,7753,5386,4963,8395
K14015,2530,2854,4037,4640,4107,5296,7602,7314,3271,3400,6402,4248,4061,6588
K24030,1829,2188,3130,3032,2122,3319,4705,4124,1763,1746,3133,2547,2340,3153
K08597,804,1333,1903,2340,2036,2552,4131,3652,1960,2173,3451,1881,1709,2892
K25616,3826,4732,6166,8128,6445,7817,14607,13023,5351,6111,11210,7109,7064,10658
K03164,6856,7227,9767,11436,9128,14657,10930,10570,7020,6277,10250,4211,3880,7693
K25210,26,18,27,46,45,45,52,42,58,26,70,22,13,53
K17916,1068,1562,1929,3159,2348,2414,9020,7737,3713,4058,6576,2777,3372,5240
K00939,9767,11992,16084,19025,16325,22607,28457,27956,13518,13389,24852,15808,15689,25026
K03018,718,829,1145,1056,948,1375,1183,1139,673,614,1051,719,701,1120
K00232,659,874,1199,1424,1230,1620,1958,2085,1125,1168,1791,1149,1115,1796
K00943,264,290,430,430,328,372,328,320,239,233,411,99,118,223
K11498,7258,7992,10394,8151,7489,10644,18756,16238,6326,6013,12168,11987,11151,19914
K22503,6595,7481,10966,11822,9981,13504,15932,15397,6587,7192,12446,9524,9405,14370
K10758,138,238,270,358,395,442,615,594,308,323,570,197,178,422
K03977,135,137,237,252,281,397,380,369,206,210,315,165,125,259
K03704,168,678,779,882,525,753,888,1039,452,544,891,416,537,598
K14007,260,333,438,482,486,579,538,546,353,388,542,177,175,422
K02912,5945,8481,12004,13642,10504,13165,19538,17033,7419,9350,14920,7077,8180,11724
K01593,203,273,356,525,450,495,787,761,498,441,713,234,245,457
